TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
23722,2,5,Rhododendron minus,0.5,1,25.0,21.85,18.72,0.01,2500.0,,22.0,0.6,8000.0,8000.0,0,1,0,1,0,piedmont rhododendron
23724,2,4,Rhododendron occidentale,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,western azalea
23731,2,4,Rhododendron viscosum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,swamp azalea
23735,2,6,Xylococcus bicolor,0.5,2,25.0,21.85,18.72,,2000.0,,18.0,0.6,8000.0,8000.0,0,1,0,1,0,mission manzanita
23737,2,4,Zenobia pulverulenta,0.5,1,25.0,25.0,18.72,0.01,2500.0,,27.0,0.6,8000.0,8000.0,0,1,0,1,0,honeycup
23743,2,7,Empetrum nigrum,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,black crowberry
23747,2,7,Ceratiola ericoides,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,sand heath
23750,2,4,Corema conradii,0.5,1,25.0,25.0,18.72,,2500.0,,28.0,0.6,8000.0,8000.0,0,1,0,1,0,broom crowberry
23752,5,12,Pyrola spp.,,2,25.0,,,0.01,3000.0,,,,8000.0,8000.0,0,0,1,0,0,wintergreen
23753,5,13,Pyrola asarifolia,,2,25.0,,,0.01,2500.0,,,,8000.0,8000.0,0,0,1,0,0,liverleaf wintergreen
23755,5,13,Pyrola secunda,,2,25.0,25.0,18.72,0.01,2500.0,,11.0,0.6,8000.0,8000.0,0,1,1,1,5040,sidebells wintergreen
23757,2,9,Pyrola chlorantha,0.5,1,25.0,25.0,18.72,,2000.0,,28.0,0.6,8000.0,8000.0,0,1,1,1,0,greenflowered wintergreen
23759,5,13,Pyrola elliptica,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,waxflower shinleaf
23760,5,13,Pyrola minor,,2,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,snowline wintergreen
23761,5,12,Pyrola picta,,2,25.0,25.0,18.72,0.01,3000.0,,11.0,0.6,8000.0,8000.0,0,1,1,1,0,whiteveined wintergreen
23765,5,2,Allotropa virgata,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,sugarstick
23766,2,6,Chimaphila spp.,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,prince's pine
23767,2,6,Chimaphila maculata,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,1,1,0,striped prince's pine
23768,2,6,Chimaphila menziesii,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,1,1,0,little prince's pine
23769,2,6,Chimaphila umbellata,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,pipsissewa
23770,5,8,Hemitomes spp.,,1,25.0,,,,1000.0,,,,8000.0,8000.0,0,0,1,0,0,coneplant
23771,5,8,Hemitomes congestum,,1,25.0,,,,1000.0,,,,8000.0,8000.0,0,0,1,0,0,coneplant
23775,5,12,Hypopitys monotropa,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,pinesap
23778,5,13,Monotropa uniflora,,1,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,Indianpipe
23785,5,12,Pleuricospora fimbriolata,,1,25.0,,,,2500.0,,,,8000.0,8000.0,0,0,1,0,0,fringed pinesap
23787,5,12,Pterospora andromedea,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,woodland pinedrops
23798,5,12,Pyxidanthera barbulata,,1,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,flowering pixiemoss
23805,3,5,Bumelia lanuginosa,0.33,1,25.0,40.5,18.72,0.06,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,5246,gum bully
23855,3,4,Diospyros virginiana,0.5,1,25.0,48.9,18.72,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,common persimmon
23863,3,4,Halesia spp.,0.5,1,25.0,31.5,18.72,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,silverbell
23864,3,4,Halesia carolina,0.5,1,25.0,31.5,18.72,0.06,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,Carolina silverbell
23878,3,4,Symplocos tinctoria,0.33,1,25.0,33.5,18.72,,2000.0,1.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,common sweetleaf
23935,5,12,Androsace septentrionalis,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,pygmyflower rockjasmine
23937,5,12,Androsace elongata,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,California rockjasmine
23942,5,12,Androsace occidentalis,,2,25.0,,,,3000.0,,,,8000.0,8000.0,0,0,1,0,0,western rockjasmine
